 Kantone,männlich,weiblich,,,
 Zürich, 6 , 3 ,,,
 Bern, 2 , 2 ,,,
 Luzern,0 , 1 ,,,
 Uri,0 ,0 ,,,
 Schwyz,0 ,0 ,,,
 Obwalden,0 ,0 ,,,
 Nidwalden,0 ,0 ,,,
 Glarus,0 ,0 ,,,
 Zug,0 , 1 ,,,
 Fribourg, 1 ,0 ,,,
 Solothurn,0 , 1 ,,,
 Basel-Stadt, 1 , 1 ,,,
 Basel-Landschaft, 1 , 1 ,,,
 Schaffhausen, 1 ,0 ,,,
 Appenzell A.Rh.,0 , 1 ,,,
 Appenzell I.Rh.,0 ,0 ,,,
 St. Gallen,0 , 1 ,,,
 Graubünden, 1 ,0 ,,,
 Aargau, 4 , 1 ,,,
 Thurgau,0 ,0 ,,,
 Ticino, 4 ,0 ,,,
 Vaud, 1 ,0 ,,,
 Valais, 1 , 1 ,,,
 Neuchâtel, 1 ,0 ,,,
 Genève, 6 , 1 ,,,
 Jura,0 ,0 ,,,
,,,,,
,,,,,
